year,mileage,engine_size,brand,transmission,price
2019,45000,2.0,Toyota,Automatic,22500
2017,68000,1.6,Ford,Manual,13200
2021,18000,3.0,BMW,Automatic,42000
2015,95000,2.4,Honda,Automatic,11800
2020,31000,2.0,Mercedes,Automatic,36500
2018,52000,1.8,Toyota,Manual,17400
2016,83000,2.0,Ford,Automatic,12100
2022,12000,3.0,BMW,Automatic,49500
2014,110000,1.8,Honda,Manual,8900
2020,27000,2.5,Mercedes,Automatic,39800
2019,39000,2.5,Toyota,Automatic,24100
2013,125000,2.0,Ford,Manual,6500
2021,22000,2.0,BMW,Automatic,38000
2017,74000,2.0,Honda,Automatic,14900
2018,48000,3.0,Mercedes,Automatic,33200
2023,8000,2.5,Toyota,Automatic,29500
2016,89000,1.6,Ford,Manual,10800
2020,34000,2.0,BMW,Automatic,34000
2019,41000,2.4,Honda,Automatic,19800
2015,102000,2.1,Mercedes,Automatic,16200
